Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
5/1/1995,5.6,6.01,71.5044,1.04,1314,1271,89.8,51.5
6/1/1995,5.6,6,71.743,1.15,1281,1305,92.7,53.5
7/1/1995,5.7,5.85,71.4459,1.13,1461,1354,94.4,54.6
8/1/1995,5.7,5.74,72.38,1.62,1416,1386,96.2,56.1
9/1/1995,5.6,5.8,72.6601,1.5,1369,1421,88.9,56.7
10/1/1995,5.5,5.76,72.5428,1.75,1369,1400,90.2,58.2
11/1/1995,5.6,5.8,72.7178,1.48,1452,1430,88.2,58.8
12/1/1995,5.6,5.6,72.9672,1.46,1431,1442,91,61.0
1/1/1996,5.6,5.56,72.5866,1.47,1467,1387,89.3,62.4
2/1/1996,5.5,5.22,73.6389,1.45,1491,1420,88.5,63.9
3/1/1996,5.5,5.31,73.5202,1.42,1424,1437,93.7,64.9
4/1/1996,5.6,5.22,74.2664,1.67,1516,1463,92.7,65.4
5/1/1996,5.6,5.24,74.8145,1.79,1504,1457,89.4,65.5
6/1/1996,5.3,5.27,75.3779,2.08,1467,1429,92.4,67.1
7/1/1996,5.5,5.4,75.3754,2,1472,1450,94.7,67.7
8/1/1996,5.1,5.22,75.7568,2,1557,1413,95.3,65.2
9/1/1996,5.2,5.3,76.2304,1.73,1475,1392,94.7,67.1
10/1/1996,5.2,5.24,76.2193,1.63,1392,1358,96.5,69.0
11/1/1996,5.4,5.31,76.8941,1.48,1489,1412,99.2,70.6
12/1/1996,5.4,5.29,77.3731,1.45,1370,1411,96.9,76.0
1/1/1997,5.3,5.25,77.5138,1.61,1355,1382,97.4,77.3
2/1/1997,5.2,5.19,78.4246,1.82,1486,1445,99.7,78.6
3/1/1997,5.2,5.39,78.9266,2.01,1457,1436,100,79.7
4/1/1997,5.1,5.51,78.9924,1.91,1492,1421,101.4,75.9
5/1/1997,4.9,5.5,79.4411,2.04,1442,1414,103.2,80.0
6/1/1997,5,5.56,79.8048,1.94,1494,1402,104.5,84.8
7/1/1997,4.9,5.52,80.48,2.03,1437,1440,107.1,89.3
8/1/1997,4.8,5.54,81.2862,1.58,1390,1449,104.4,94.9
9/1/1997,4.9,5.54,82.038,1.93,1546,1494,106,95.3
10/1/1997,4.7,5.5,82.7657,2.02,1520,1499,105.6,95.6
11/1/1997,4.6,5.52,83.4321,2.05,1510,1469,107.2,94.0
12/1/1997,4.7,5.5,83.7826,2.09,1566,1456,102.1,98.1
1/1/1998,4.6,5.56,84.1656,1.88,1525,1555,106.6,99.0
2/1/1998,4.6,5.51,84.3048,1.87,1584,1647,110.4,99.9
3/1/1998,4.7,5.49,84.3416,1.66,1567,1605,106.5,104.9
4/1/1998,4.3,5.45,84.6263,1.88,1540,1547,108.7,110.8
5/1/1998,4.4,5.49,85.1839,1.98,1536,1554,106.5,112.6
6/1/1998,4.5,5.56,84.6809,1.68,1641,1551,105.6,109.5
7/1/1998,4.5,5.54,84.3448,1.67,1698,1610,105.2,114.6
8/1/1998,4.5,5.55,86.0846,1.69,1614,1654,104.4,111.3
9/1/1998,4.6,5.51,85.9945,1.95,1582,1577,100.9,100.1
10/1/1998,4.5,5.07,86.5967,1.69,1715,1719,97.4,98.8
11/1/1998,4.4,4.83,86.5114,1.74,1660,1672,102.7,111.9
12/1/1998,4.4,4.68,86.8608,1.89,1792,1742,100.5,117.6
1/1/1999,4.3,4.63,87.2277,1.66,1748,1732,103.9,122.3
2/1/1999,4.4,4.76,87.7266,1.87,1670,1720,108.1,126.9
3/1/1999,4.2,4.81,87.9203,1.86,1710,1665,105.7,123.9
4/1/1999,4.3,4.74,88.1153,1.8,1553,1600,104.6,129.3
5/1/1999,4.2,4.74,88.6554,1.68,1611,1640,106.8,135.7
6/1/1999,4.3,4.76,88.5958,1.67,1559,1702,107.3,129.8
7/1/1999,4.3,4.99,89.1235,1.86,1669,1682,106,138.0
8/1/1999,4.2,5.07,89.5116,1.74,1648,1671,104.5,133.1
9/1/1999,4.2,5.22,89.1361,1.62,1635,1551,107.2,133.7
10/1/1999,4.1,5.2,90.2842,1.69,1608,1649,103.2,128.5
11/1/1999,4.1,5.42,90.7631,1.96,1648,1672,107.2,135.6
12/1/1999,4,5.3,91.4926,1.9,1708,1683,105.4,140.4
1/1/2000,4,5.45,91.4251,1.61,1636,1727,112,145.4
2/1/2000,4.1,5.73,91.7357,1.48,1737,1692,111.3,140.9
3/1/2000,4,5.85,92.0933,1.88,1604,1651,107.1,138.4
4/1/2000,3.8,6.02,92.6838,2.13,1626,1597,109.2,151.3
5/1/2000,4,6.27,92.9376,1.85,1575,1543,110.7,147.1
6/1/2000,4,6.53,93.0076,1.26,1559,1572,106.4,145.3
